start_ts,end_ts,duration,src_ip,src_port,dst_ip,dst_port,proto,app_proto,state,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,pkts_total,bytes_total,bpp_toserver,bpp_toclient,pps_toserver,pps_toclient,byte_ratio_ts_tc,pkt_ratio_ts_tc,src2dst_rate,dst2src_rate,is_tcp,is_udp,is_icmp,is_ipv6,zeek_uid,zeek_history
0.0,59.0,59.0,46052,0,53,0,other,0.007093,other,87,103,75,0,190,75,0.8620689655172413,0.0,1.4745762711864407,1.7457627118644068,75.0,0.8446601941747572,1.271186440677966,0.0,0,0,0,0,192.168.100.62,1
0.0,59.0,59.0,44489,0,53,0,other,0.007323,other,87,161,133,0,248,133,1.528735632183908,0.0,1.4745762711864407,2.7288135593220337,133.0,0.5403726708074534,2.2542372881355934,0.0,0,0,0,0,192.168.100.62,1
0.0,5156.0,5156.0,43783,0,443,0,other,0.076129,other,5492,4796,4460,0,10288,4460,0.8120903131828113,0.0,1.065166795965865,0.930178432893716,4460.0,1.1451209341117599,0.8650116369278511,0.0,0,0,0,0,2a02:2f04:e104:3f00:2370:d47c:4774:d134,7
0.0,2121.0,2121.0,46784,0,443,0,other,0.117135,other,2633,1198,830,0,3831,830,0.31522977592100265,0.0,1.2413955681282414,0.5648279113625648,830.0,2.197829716193656,0.3913248467703913,0.0,0,0,0,0,2a02:2f04:e104:3f00:2370:d47c:4774:d134,7
0.0,5851.0,5851.0,41656,0,443,0,other,13.419386,other,6715,9283,8323,0,15998,8323,1.239463886820551,0.0,1.1476670654588959,1.5865663989061698,8323.0,0.7233652913928686,1.4224918817296188,0.0,0,0,0,0,2a02:2f04:e104:3f00:2370:d47c:4774:d134,18
0.0,140.0,140.0,44924,0,443,0,other,120.037669,other,8948,131588,122482,0,140536,122482,13.688198480107287,0.0,63.91428571428571,939.9142857142857,122482.0,0.0680001215916345,874.8714285714286,0.0,0,0,0,0,2a02:2f04:e104:3f00:2370:d47c:4774:d134,122
0.0,196.0,196.0,50176,0,443,0,other,120.027728,other,700,1176,168,0,1876,168,0.24,0.0,3.5714285714285716,6.0,168.0,0.5952380952380952,0.8571428571428571,0.0,0,0,0,0,2a02:2f04:e104:3f00:2370:d47c:4774:d134,7
0.0,58.0,58.0,58308,0,443,0,other,60.214512,other,162,258,50,0,420,50,0.30864197530864196,0.0,2.793103448275862,4.448275862068965,50.0,0.627906976744186,0.8620689655172413,0.0,0,0,0,0,192.168.100.62,2
0.0,1.0,1.0,59310,0,443,0,other,73.707845,other,288,216,0,0,504,0,0.0,0.0,288.0,216.0,0.0,1.3333333333333333,0.0,0.0,0,0,0,0,2a02:2f04:e104:3f00:2370:d47c:4774:d134,4
0.0,1253.0,1253.0,42586,0,443,0,other,13.357121,other,6013,226140,213820,0,232153,213820,35.5596208215533,0.0,4.798882681564246,180.47885075818036,213820.0,0.026589723180330767,170.64644852354348,0.0,0,0,0,0,2a02:2f04:e104:3f00:2370:d47c:4774:d134,66
0.0,2887.0,2887.0,55472,0,443,0,other,13.467361,other,5386,67984,62345,0,73370,62345,11.575380616412922,0.0,1.8656044336681676,23.548320055420852,62345.0,0.07922452341727465,21.595081399376514,0.0,0,0,0,0,2a02:2f04:e104:3f00:2370:d47c:4774:d134,34
0.0,2970.0,2970.0,60216,0,8009,0,other,130.415015,other,5778,4374,2970,0,10152,2970,0.514018691588785,0.0,1.9454545454545455,1.4727272727272727,2970.0,1.3209876543209877,1.0,0.0,0,0,0,0,192.168.100.62,54
0.0,96.0,96.0,54326,0,54321,0,other,90.015306,other,180,0,0,0,180,0,0.0,0.0,1.875,0.0,0.0,180.0,0.0,0.0,0,0,0,0,192.168.100.58,3
0.0,25.0,25.0,38700,0,443,0,other,4.222274,other,384,420,24,0,804,24,0.0625,0.0,15.36,16.8,24.0,0.9142857142857143,0.96,0.0,0,0,0,0,2a02:2f04:e104:3f00:2370:d47c:4774:d134,5
0.0,1.0,1.0,58058,0,443,0,other,74.372421,other,288,216,0,0,504,0,0.0,0.0,288.0,216.0,0.0,1.3333333333333333,0.0,0.0,0,0,0,0,2a02:2f04:e104:3f00:2370:d47c:4774:d134,4
0.0,2750.0,2750.0,53006,0,8009,0,other,127.169780,other,6038,20033,15285,0,26071,15285,2.531467373302418,0.0,2.1956363636363636,7.284727272727273,15285.0,0.30140268556881145,5.558181818181819,0.0,0,0,0,0,192.168.100.62,63
0.0,215.0,215.0,36952,0,443,0,other,124.042098,other,735,720,200,0,1455,200,0.272108843537415,0.0,3.4186046511627906,3.3488372093023258,200.0,1.0208333333333333,0.9302325581395349,0.0,0,0,0,0,192.168.100.62,10
0.0,21961.0,21961.0,56737,0,443,0,other,18.600818,other,23449,6409,5113,0,29858,5113,0.21804767793935775,0.0,1.0677564773917398,0.2918355266153636,5113.0,3.658761117178967,0.23282182049997724,0.0,0,0,0,0,2a02:2f04:e104:3f00:2370:d47c:4774:d134,31
0.0,220.0,220.0,57621,0,57621,0,other,120.078230,other,360,0,0,0,360,0,0.0,0.0,1.6363636363636365,0.0,0.0,360.0,0.0,0.0,0,0,0,0,192.168.100.62,5
0.0,7056.0,7056.0,44585,0,443,0,other,13.562926,other,8112,13763,12611,0,21875,12611,1.5546104536489151,0.0,1.1496598639455782,1.9505385487528344,12611.0,0.5894063794230909,1.7872732426303855,0.0,0,0,0,0,2a02:2f04:e104:3f00:2370:d47c:4774:d134,22
0.0,0.0,0.0,9487,0,9478,0,other,-,other,68,0,0,0,68,0,0.0,0.0,67999999999.99999,0.0,0.0,68.0,0.0,0.0,0,0,0,0,192.168.100.60,1
0.0,0.0,0.0,63008,0,1900,0,other,-,other,326,0,0,0,326,0,0.0,0.0,326000000000.0,0.0,0.0,326.0,0.0,0.0,0,0,0,0,192.168.100.29,1
0.0,25.0,25.0,38684,0,443,0,other,4.530728,other,384,420,24,0,804,24,0.0625,0.0,15.36,16.8,24.0,0.9142857142857143,0.96,0.0,0,0,0,0,2a02:2f04:e104:3f00:2370:d47c:4774:d134,5
0.0,0.0,0.0,63016,0,1900,0,other,-,other,326,0,0,0,326,0,0.0,0.0,326000000000.0,0.0,0.0,326.0,0.0,0.0,0,0,0,0,192.168.100.29,1
0.0,196.0,196.0,52370,0,443,0,other,119.965642,other,700,1176,168,0,1876,168,0.24,0.0,3.5714285714285716,6.0,168.0,0.5952380952380952,0.8571428571428571,0.0,0,0,0,0,2a02:2f04:e104:3f00:2370:d47c:4774:d134,7
0.0,0.0,0.0,63012,0,1900,0,other,-,other,326,0,0,0,326,0,0.0,0.0,326000000000.0,0.0,0.0,326.0,0.0,0.0,0,0,0,0,192.168.100.29,1
0.0,783.0,783.0,35094,0,443,0,other,86.183785,other,1286,637,133,0,1923,133,0.10342146189735614,0.0,1.6424010217113665,0.8135376756066411,133.0,2.0188383045525904,0.1698595146871009,0.0,0,0,0,0,2a02:2f04:e104:3f00:2370:d47c:4774:d134,7
0.0,5076.0,5076.0,49154,0,6667,0,other,129.952011,other,5832,0,0,0,5832,0,0.0,0.0,1.148936170212766,0.0,0.0,5832.0,0.0,0.0,0,0,0,0,192.168.100.46,27
0.0,4644.0,4644.0,49153,0,6667,0,other,129.964968,other,5400,0,0,0,5400,0,0.0,0.0,1.1627906976744187,0.0,0.0,5400.0,0.0,0.0,0,0,0,0,192.168.100.55,27
0.0,5076.0,5076.0,49158,0,6667,0,other,129.956543,other,5832,0,0,0,5832,0,0.0,0.0,1.148936170212766,0.0,0.0,5832.0,0.0,0.0,0,0,0,0,192.168.100.87,27
0.0,1.0,1.0,52382,0,443,0,other,29.906316,other,372,444,24,0,816,24,0.06451612903225806,0.0,372.0,444.0,24.0,0.8378378378378378,24.0,0.0,0,0,0,0,2a02:2f04:e104:3f00:2370:d47c:4774:d134,5
0.0,1.0,1.0,59300,0,443,0,other,73.707886,other,288,216,0,0,504,0,0.0,0.0,288.0,216.0,0.0,1.3333333333333333,0.0,0.0,0,0,0,0,2a02:2f04:e104:3f00:2370:d47c:4774:d134,4
0.0,3571.0,3571.0,56236,0,443,0,other,0.347046,other,4371,2850,2122,0,7221,2122,0.4854724319377717,0.0,1.224026883225987,0.7980957714925792,2122.0,1.5336842105263158,0.5942313077569308,0.0,0,0,0,0,2a02:2f04:e104:3f00:2370:d47c:4774:d134,11
0.0,1.0,1.0,58822,0,443,0,other,26.510779,other,216,312,24,0,528,24,0.1111111111111111,0.0,216.0,312.0,24.0,0.6923076923076923,24.0,0.0,0,0,0,0,2a02:2f04:e104:3f00:2370:d47c:4774:d134,3
0.0,1.0,1.0,58180,0,443,0,other,90.274911,other,216,216,0,0,432,0,0.0,0.0,216.0,216.0,0.0,1.0,0.0,0.0,0,0,0,0,2a02:2f04:e104:3f00:2370:d47c:4774:d134,3
0.0,2091.0,2091.0,44404,0,443,0,other,0.148814,other,2603,1198,830,0,3801,830,0.31886285055704955,0.0,1.244858919177427,0.5729316116690578,830.0,2.172787979966611,0.39693926351028214,0.0,0,0,0,0,2a02:2f04:e104:3f00:2370:d47c:4774:d134,7
0.0,5400.0,5400.0,42596,0,443,0,other,14.523679,other,36008,2360588,2241348,0,2396596,2241348,62.245834259053545,0.0,6.668148148148148,437.14592592592595,2241348.0,0.015253826588968511,415.06444444444446,0.0,0,0,0,0,2a02:2f04:e104:3f00:2370:d47c:4774:d134,425
0.0,11.0,11.0,33616,0,4070,0,other,59.962033,other,167,126,22,0,293,22,0.1317365269461078,0.0,15.181818181818182,11.454545454545455,22.0,1.3253968253968254,2.0,0.0,0,0,0,0,192.168.100.62,3
0.0,0.0,0.0,54120,0,1900,0,other,-,other,153,0,0,0,153,0,0.0,0.0,153000000000.0,0.0,0.0,153.0,0.0,0.0,0,0,0,0,192.168.100.62,1
0.0,530.0,530.0,49865,0,1900,0,other,1.895701,other,642,0,0,0,642,0,0.0,0.0,1.211320754716981,0.0,0.0,642.0,0.0,0.0,0,0,0,0,192.168.100.1,4
0.0,672.0,672.0,50371,0,1900,0,other,3.003408,other,784,0,0,0,784,0,0.0,0.0,1.1666666666666667,0.0,0.0,784.0,0.0,0.0,0,0,0,0,192.168.100.62,4
0.0,0.0,0.0,9999,0,9999,0,other,-,other,57,0,0,0,57,0,0.0,0.0,57000000000.0,0.0,0.0,57.0,0.0,0.0,0,0,0,0,192.168.100.60,1
0.0,196.0,196.0,55724,0,443,0,other,119.925095,other,700,1176,168,0,1876,168,0.24,0.0,3.5714285714285716,6.0,168.0,0.5952380952380952,0.8571428571428571,0.0,0,0,0,0,2a02:2f04:e104:3f00:2370:d47c:4774:d134,7
0.0,20306.0,20306.0,56244,0,443,0,other,1.609002,other,22786,14544,11212,0,37330,11212,0.49205652593697885,0.0,1.1221313897370235,0.7162415049738994,11212.0,1.5666941694169416,0.5521520732788339,0.0,0,0,0,0,2a02:2f04:e104:3f00:2370:d47c:4774:d134,34
0.0,6144.0,6144.0,45308,0,443,0,other,0.142912,other,6768,6459,5883,0,13227,5883,0.8692375886524822,0.0,1.1015625,1.05126953125,5883.0,1.0478402229447283,0.95751953125,0.0,0,0,0,0,2a02:2f04:e104:3f00:2370:d47c:4774:d134,13
0.0,2127.0,2127.0,50716,0,443,0,other,0.496802,other,2551,1559,1187,0,4110,1187,0.4653077224617797,0.0,1.1993417959567465,0.7329572167371885,1187.0,1.6363053239255934,0.5580629995298543,0.0,0,0,0,0,192.168.100.62,8
0.0,0.0,0.0,9487,0,9478,0,other,-,other,68,0,0,0,68,0,0.0,0.0,67999999999.99999,0.0,0.0,68.0,0.0,0.0,0,0,0,0,192.168.100.61,1
0.0,196.0,196.0,54394,0,443,0,other,119.809579,other,700,1176,168,0,1876,168,0.24,0.0,3.5714285714285716,6.0,168.0,0.5952380952380952,0.8571428571428571,0.0,0,0,0,0,2a02:2f04:e104:3f00:2370:d47c:4774:d134,7
0.0,2712.0,2712.0,50708,0,443,0,other,0.105795,other,3188,1233,861,0,4421,861,0.27007528230865746,0.0,1.1755162241887906,0.45464601769911506,861.0,2.5855636658556365,0.3174778761061947,0.0,0,0,0,0,192.168.100.62,9
0.0,0.0,0.0,63004,0,1900,0,other,-,other,326,0,0,0,326,0,0.0,0.0,326000000000.0,0.0,0.0,326.0,0.0,0.0,0,0,0,0,192.168.100.29,1
