ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto
1760752595.199651,CJSAOSHRzDSixRfC8,192.168.100.46,49154,255.255.255.255,6667,udp,-,129.952011,5076.0,0.0,S0,T,T,0,D,27,5832,0,0,-,17
1760752595.494677,CXT1di4n5S8yFTPqzc,192.168.100.55,49153,255.255.255.255,6667,udp,-,129.964968,4644.0,0.0,S0,T,T,0,D,27,5400,0,0,-,17
1760752595.895248,C9kC1t1sq3mnLwTt7c,192.168.100.87,49158,255.255.255.255,6667,udp,-,129.956543,5076.0,0.0,S0,T,T,0,D,27,5832,0,0,-,17
1760752629.415035,CwYxhw3SBOth7sZzR1,2a02:2f04:e104:3f00:2370:d47c:4774:d134,52382,2a02:26f0:9c00::684c:dc33,443,tcp,-,29.906316,1.0,24.0,SF,F,F,0,AadFfr,5,372,6,444,-,6
1760752629.415096,CCnCxx2Q0Bkrq4ObCa,2a02:2f04:e104:3f00:2370:d47c:4774:d134,59300,2600:1901:1:7c5::,443,tcp,-,73.707886,1.0,0.0,SF,F,F,0,AaFf,4,288,3,216,-,6
1760752686.509079,CxylWMNdVWyqKfVT9,2a02:2f04:e104:3f00:2370:d47c:4774:d134,56236,2a04:4e42:8e::347,443,tcp,ssl,0.347046,3571.0,2122.0,S1,F,F,0,ShADad,11,4371,10,2850,-,6
1760752633.511038,CDXm2DKTGcqdCrNS2,2a02:2f04:e104:3f00:2370:d47c:4774:d134,58822,2a02:26f0:9c00::684c:dc39,443,tcp,-,26.510779,1.0,24.0,SF,F,F,0,AadFf,3,216,4,312,-,6
1760752633.537125,CRbtbQgrmEWZVvul,2a02:2f04:e104:3f00:2370:d47c:4774:d134,58180,2a04:4e42:8e::760,443,tcp,-,90.274911,1.0,0.0,OTH,F,F,0,Aa,3,216,3,216,-,6
1760752699.676301,CdQNKm3YOtOoANe51,2a02:2f04:e104:3f00:2370:d47c:4774:d134,44404,2600:1901:1:5a5::,443,tcp,ssl,0.148814,2091.0,830.0,S1,F,F,0,ShADad,7,2603,5,1198,-,6
1760752703.10154,CGopGj3wZP7HMQs2l,2a02:2f04:e104:3f00:2370:d47c:4774:d134,42596,2a02:26f0:9c00::684c:dc33,443,tcp,ssl,14.523679,5400.0,2241348.0,S1,F,F,0,ShADad,425,36008,1656,2360588,-,6
1760752644.010289,CCsAdGQAC0RLjMb8g,192.168.100.62,33616,104.199.65.9,4070,tcp,-,59.962033,11.0,22.0,OTH,T,F,0,DdA,3,167,2,126,-,6
1760752699.364785,CDIRa02IdyGqFisdy5,192.168.100.62,54120,239.255.255.250,1900,udp,-,0.0,0.0,0.0,S0,T,T,0,D,1,153,0,0,-,17
1760752676.88318,CNSgKK2uJGHWdhjs81,192.168.100.1,49865,239.255.255.250,1900,udp,-,1.895701,530.0,0.0,S0,T,T,0,D,4,642,0,0,-,17
1760752685.581194,CG3iHW2qfUkzfTNxCc,192.168.100.62,50371,239.255.255.250,1900,udp,-,3.003408,672.0,0.0,S0,T,T,0,D,4,784,0,0,-,17
1760752686.211135,Ctc7Xh21hTfFyPjtN,192.168.100.60,9999,255.255.255.255,9999,udp,-,0.0,0.0,0.0,S0,T,T,0,D,1,57,0,0,-,17
1760752601.01204,CYoEhl2fXv154oMlCh,2a02:2f04:e104:3f00:2370:d47c:4774:d134,55724,2a06:98c1:3107::6812:2715,443,tcp,-,119.925095,196.0,168.0,OTH,F,F,0,^dDa,7,700,14,1176,-,6
1760752686.509461,C1eQbI3sF5vkuGp7R8,2a02:2f04:e104:3f00:2370:d47c:4774:d134,56244,2a04:4e42:8e::347,443,tcp,ssl,1.609002,20306.0,11212.0,S1,F,F,0,ShADadt,34,22786,39,14544,-,6
1760752699.642415,CP4QYLunIXYjz5tS5,2a02:2f04:e104:3f00:2370:d47c:4774:d134,45308,2600:1901:1:5a5::,443,udp,"quic,ssl",0.142912,6144.0,5883.0,SF,F,F,0,Dd,13,6768,12,6459,-,17
1760752688.463319,CvEabh3JQ4hjdNlDUd,192.168.100.62,50716,34.107.243.93,443,tcp,ssl,0.496802,2127.0,1187.0,S1,T,F,0,ShADad,8,2551,7,1559,-,6
1760752688.730168,C7IMlS1IYdnOaml3zc,192.168.100.61,9487,255.255.255.255,9478,udp,-,0.0,0.0,0.0,S0,T,T,0,D,1,68,0,0,-,17
1760752602.732557,CgAjca4uvpogNoFYGl,2a02:2f04:e104:3f00:2370:d47c:4774:d134,54394,2a06:98c1:3107::6812:2715,443,tcp,-,119.809579,196.0,168.0,OTH,F,F,0,^dDa,7,700,14,1176,-,6
1760752688.380068,CPVbWG1MBirFIdqOjg,192.168.100.62,50708,34.107.243.93,443,tcp,ssl,0.105795,2712.0,861.0,S1,T,F,0,ShADad,9,3188,7,1233,-,6
1760752678.209031,CSkOYF1F3zC3kXakWg,192.168.100.29,63004,239.255.255.250,1900,udp,-,0.0,0.0,0.0,S0,T,T,0,D,1,326,0,0,-,17
